dataset,algorithm,mean_purity,num_neighbors,num_clusters,ci
iris,spectral-clustering,0.7040000000000001,25,3,(0.6531699331634153, 0.7548300668365848)
iris,spectral-clustering,0.8353333333333334,50,3,(0.7462813390430846, 0.9243853276235822)
iris,spectral-clustering,0.6473333333333333,75,3,(0.6191237552504991, 0.6755429114161675)
iris,spectral-clustering,0.6613333333333334,100,3,(0.5973972792653456, 0.7252693874013213)
iris,spectral-clustering,0.5093333333333333,125,3,(0.4637451998556882, 0.5549214668109784)
