,dataset,algorithm,purity,num_neighbors,num_clusters,k
5,iris,Girvan-Newman,0.6666666666666666,75,3,4.0
6,iris,Girvan-Newman,0.6666666666666666,75,3,5.0
7,iris,Girvan-Newman,0.6666666666666666,75,3,10.0
8,iris,Girvan-Newman,0.6666666666666666,75,3,11.0
9,iris,Girvan-Newman,0.6666666666666666,75,3,12.0
10,iris,Girvan-Newman,0.6666666666666666,75,3,13.0
11,iris,Girvan-Newman,0.6666666666666666,75,3,14.0
12,iris,Girvan-Newman,0.6666666666666666,75,3,15.0
13,iris,Girvan-Newman,0.6666666666666666,75,3,16.0
14,iris,Girvan-Newman,0.6666666666666666,75,3,17.0
15,iris,Girvan-Newman,0.6666666666666666,75,3,18.0
16,iris,Girvan-Newman,0.6666666666666666,75,3,19.0
17,iris,Girvan-Newman,0.6666666666666666,75,3,20.0
18,iris,Girvan-Newman,0.6666666666666666,75,3,50.0
19,iris,Girvan-Newman,0.6666666666666666,75,3,100.0
0,iris,Girvan-Newman,0.3466666666666667,100,3,0.1
1,iris,Girvan-Newman,0.3466666666666667,100,3,0.5
2,iris,Girvan-Newman,0.3466666666666667,100,3,1.0
3,iris,Girvan-Newman,0.3466666666666667,100,3,2.0
4,iris,Girvan-Newman,0.3466666666666667,100,3,3.0
5,iris,Girvan-Newman,0.3466666666666667,100,3,4.0
6,iris,Girvan-Newman,0.3466666666666667,100,3,5.0
7,iris,Girvan-Newman,0.3466666666666667,100,3,10.0
8,iris,Girvan-Newman,0.3466666666666667,100,3,11.0
9,iris,Girvan-Newman,0.3466666666666667,100,3,12.0
10,iris,Girvan-Newman,0.3466666666666667,100,3,13.0
11,iris,Girvan-Newman,0.3466666666666667,100,3,14.0
12,iris,Girvan-Newman,0.3466666666666667,100,3,15.0
13,iris,Girvan-Newman,0.3466666666666667,100,3,16.0
14,iris,Girvan-Newman,0.3466666666666667,100,3,17.0
15,iris,Girvan-Newman,0.3466666666666667,100,3,18.0
16,iris,Girvan-Newman,0.3466666666666667,100,3,19.0
17,iris,Girvan-Newman,0.3466666666666667,100,3,20.0
18,iris,Girvan-Newman,0.3466666666666667,100,3,50.0
19,iris,Girvan-Newman,0.3466666666666667,100,3,100.0
