dataset,algorithm,mean_purity,num_neighbors,num_clusters,k,ci
wine,kharmonic_kmeans,0.7146067415730337,100,3,10,(0.7129122418256622, 0.7163012413204053)
wine,kharmonic_kmeans,0.7146067415730337,100,3,11,(0.7129122418256622, 0.7163012413204053)
wine,kharmonic_kmeans,0.7151685393258427,100,3,12,(0.7132272459864892, 0.7171098326651961)
wine,kharmonic_kmeans,0.7146067415730337,100,3,13,(0.7129122418256622, 0.7163012413204053)
wine,kharmonic_kmeans,0.7157303370786516,100,3,14,(0.713655007203484, 0.7178056669538193)
wine,kharmonic_kmeans,0.7157303370786516,100,3,15,(0.713655007203484, 0.7178056669538193)
wine,kharmonic_kmeans,0.7174157303370786,100,3,16,(0.7154744369977252, 0.7193570236764321)
wine,kharmonic_kmeans,0.7162921348314606,100,3,17,(0.7141740101472461, 0.718410259515675)
wine,kharmonic_kmeans,0.7151685393258427,100,3,18,(0.7132272459864892, 0.7171098326651961)
wine,kharmonic_kmeans,0.7146067415730337,100,3,19,(0.7129122418256622, 0.7163012413204053)
wine,kharmonic_kmeans,0.7151685393258427,100,3,20,(0.7132272459864892, 0.7171098326651961)
wine,kharmonic_kmeans,0.7162921348314606,100,3,50,(0.7141740101472461, 0.718410259515675)
wine,kharmonic_kmeans,0.7140449438202248,100,3,100,(0.7127740690096961, 0.7153158186307534)
wine,kharmonic_kmeans,0.4191011235955056,125,3,0.1,(0.38314537218384076, 0.45505687500717046)
wine,kharmonic_kmeans,0.40674157303370784,125,3,0.5,(0.4039315630990161, 0.40955158296839955)
wine,kharmonic_kmeans,0.42191011235955056,125,3,1,(0.38246746846742397, 0.46135275625167715)
wine,kharmonic_kmeans,0.4393258426966292,125,3,2,(0.388852215873441, 0.48979946951981745)
wine,kharmonic_kmeans,0.4084269662921348,125,3,3,(0.4057144431914552, 0.4111394893928144)
wine,kharmonic_kmeans,0.46348314606741575,125,3,4,(0.39279361052133255, 0.534172681613499)
wine,kharmonic_kmeans,0.4882022471910113,125,3,5,(0.40745862300429436, 0.5689458713777282)
wine,kharmonic_kmeans,0.699438202247191,125,3,10,(0.6568117652386777, 0.7420646392557043)
wine,kharmonic_kmeans,0.6241573033707866,125,3,11,(0.5736250451433802, 0.6746895615981929)
wine,kharmonic_kmeans,0.699438202247191,125,3,12,(0.6568117652386777, 0.7420646392557043)
wine,kharmonic_kmeans,0.6910112359550562,125,3,13,(0.6401762435339103, 0.7418462283762021)
wine,kharmonic_kmeans,0.6994382022471911,125,3,14,(0.648207600805681, 0.7506688036887013)
wine,kharmonic_kmeans,0.699438202247191,125,3,15,(0.6568117652386777, 0.7420646392557043)
wine,kharmonic_kmeans,0.7078651685393258,125,3,16,(0.6570301761181799, 0.7587001609604717)
wine,kharmonic_kmeans,0.7005617977528091,125,3,17,(0.6509036304985791, 0.7502199650070391)
wine,kharmonic_kmeans,0.708426966292135,125,3,18,(0.6584302494456586, 0.7584236831386113)
wine,kharmonic_kmeans,0.7168539325842695,125,3,19,(0.6772863656639692, 0.7564214995045699)
wine,kharmonic_kmeans,0.7331460674157304,125,3,20,(0.7140829452578007, 0.7522091895736601)
wine,kharmonic_kmeans,0.7168539325842697,125,3,50,(0.6772863656639693, 0.75642149950457)
wine,kharmonic_kmeans,0.7252808988764047,125,3,100,(0.6884255293710739, 0.7621362683817354)
