dataset,algorithm,mean_purity,num_neighbors,num_clusters,k,ci
cancer,harmonic-spectral-clustering,0.8126537785588752,75,2,100,(0.8110635099031698, 0.8142440472145807)
cancer,harmonic-spectral-clustering,0.7882249560632688,100,2,0.1,(0.7246659974738796, 0.851783914652658)
cancer,harmonic-spectral-clustering,0.809841827768014,100,2,0.5,(0.8047850957298073, 0.8148985598062208)
cancer,harmonic-spectral-clustering,0.8107205623901581,100,2,1,(0.8069699212669516, 0.8144712035133647)
cancer,harmonic-spectral-clustering,0.8105448154657292,100,2,2,(0.8060002442452391, 0.8150893866862193)
cancer,harmonic-spectral-clustering,0.8117750439367312,100,2,3,(0.8075239868175144, 0.816026101055948)
cancer,harmonic-spectral-clustering,0.811775043936731,100,2,4,(0.8075239868175141, 0.8160261010559478)
cancer,harmonic-spectral-clustering,0.8093145869947277,100,2,5,(0.8046763034155868, 0.8139528705738686)
cancer,harmonic-spectral-clustering,0.8093145869947277,100,2,10,(0.8046763034155868, 0.8139528705738686)
cancer,harmonic-spectral-clustering,0.811775043936731,100,2,11,(0.8075239868175141, 0.8160261010559478)
cancer,harmonic-spectral-clustering,0.8080843585237257,100,2,12,(0.8035397873032356, 0.8126289297442159)
cancer,harmonic-spectral-clustering,0.8105448154657294,100,2,13,(0.8060002442452393, 0.8150893866862196)
cancer,harmonic-spectral-clustering,0.8105448154657294,100,2,14,(0.8060002442452393, 0.8150893866862196)
cancer,harmonic-spectral-clustering,0.806854130052724,100,2,15,(0.8026030729335072, 0.8111051871719408)
cancer,harmonic-spectral-clustering,0.8105448154657294,100,2,16,(0.8060002442452393, 0.8150893866862196)
cancer,harmonic-spectral-clustering,0.8080843585237257,100,2,17,(0.8035397873032356, 0.8126289297442159)
cancer,harmonic-spectral-clustering,0.8093145869947277,100,2,18,(0.8046763034155868, 0.8139528705738686)
cancer,harmonic-spectral-clustering,0.8105448154657292,100,2,19,(0.8060002442452391, 0.8150893866862193)
cancer,harmonic-spectral-clustering,0.8080843585237257,100,2,20,(0.8035397873032356, 0.8126289297442159)
cancer,harmonic-spectral-clustering,0.8105448154657294,100,2,50,(0.8060002442452393, 0.8150893866862196)
cancer,harmonic-spectral-clustering,0.8105448154657294,100,2,100,(0.8060002442452393, 0.8150893866862196)
cancer,harmonic-spectral-clustering,0.8425307557117749,125,2,0.1,(0.8224047974496045, 0.8626567139739454)
cancer,harmonic-spectral-clustering,0.8052724077328646,125,2,0.5,(0.8033247343526545, 0.8072200811130746)
cancer,harmonic-spectral-clustering,0.8073813708260106,125,2,1,(0.8061667830776629, 0.8085959585743583)
cancer,harmonic-spectral-clustering,0.8084358523725836,125,2,2,(0.8084358523725835, 0.8084358523725838)
cancer,harmonic-spectral-clustering,0.8084358523725836,125,2,3,(0.8084358523725835, 0.8084358523725838)
cancer,harmonic-spectral-clustering,0.8084358523725836,125,2,4,(0.8084358523725835, 0.8084358523725838)
cancer,harmonic-spectral-clustering,0.8086115992970123,125,2,5,(0.808214032133086, 0.8090091664609387)
cancer,harmonic-spectral-clustering,0.8084358523725836,125,2,10,(0.8084358523725835, 0.8084358523725838)
cancer,harmonic-spectral-clustering,0.8084358523725836,125,2,11,(0.8084358523725835, 0.8084358523725838)
cancer,harmonic-spectral-clustering,0.8084358523725836,125,2,12,(0.8084358523725835, 0.8084358523725838)
cancer,harmonic-spectral-clustering,0.8084358523725836,125,2,13,(0.8084358523725835, 0.8084358523725838)
cancer,harmonic-spectral-clustering,0.8086115992970123,125,2,14,(0.808214032133086, 0.8090091664609387)
cancer,harmonic-spectral-clustering,0.8086115992970123,125,2,15,(0.808214032133086, 0.8090091664609387)
cancer,harmonic-spectral-clustering,0.8087873462214411,125,2,16,(0.8082572566695393, 0.8093174357733429)
cancer,harmonic-spectral-clustering,0.8086115992970123,125,2,17,(0.808214032133086, 0.8090091664609387)
cancer,harmonic-spectral-clustering,0.80896309314587,125,2,18,(0.8083557992716962, 0.8095703870200438)
cancer,harmonic-spectral-clustering,0.8084358523725836,125,2,19,(0.8084358523725835, 0.8084358523725838)
cancer,harmonic-spectral-clustering,0.8086115992970123,125,2,20,(0.808214032133086, 0.8090091664609387)
cancer,harmonic-spectral-clustering,0.8084358523725836,125,2,50,(0.8084358523725835, 0.8084358523725838)
cancer,harmonic-spectral-clustering,0.8086115992970123,125,2,100,(0.808214032133086, 0.8090091664609387)
