dataset,algorithm,mean_purity,num_neighbors,num_clusters,k,ci
cancer,kharmonic_kmeans,0.6365553602811952,100,2,0.5,(0.6171980168890148, 0.6559127036733756)
cancer,kharmonic_kmeans,0.7667838312829525,100,2,1,(0.7137680847554295, 0.8197995778104754)
cancer,kharmonic_kmeans,0.8031634446397188,100,2,2,(nan, nan)
cancer,kharmonic_kmeans,0.8031634446397188,100,2,3,(nan, nan)
cancer,kharmonic_kmeans,0.808084358523726,100,2,4,(0.8035397873032358, 0.8126289297442161)
cancer,kharmonic_kmeans,0.808084358523726,100,2,5,(0.8035397873032358, 0.8126289297442161)
cancer,kharmonic_kmeans,0.8080843585237257,100,2,10,(0.8035397873032356, 0.8126289297442159)
cancer,kharmonic_kmeans,0.8130052724077329,100,2,11,(0.8092946455444202, 0.8167158992710456)
cancer,kharmonic_kmeans,0.8130052724077329,100,2,12,(0.8092946455444202, 0.8167158992710456)
cancer,kharmonic_kmeans,0.808084358523726,100,2,13,(0.8035397873032358, 0.8126289297442161)
cancer,kharmonic_kmeans,0.8130052724077329,100,2,14,(0.8092946455444202, 0.8167158992710456)
cancer,kharmonic_kmeans,0.8117750439367312,100,2,15,(0.8075239868175144, 0.816026101055948)
cancer,kharmonic_kmeans,0.809841827768014,100,2,16,(0.8054545560744749, 0.8142290994615532)
cancer,kharmonic_kmeans,0.8117750439367312,100,2,17,(0.8075239868175144, 0.816026101055948)
cancer,kharmonic_kmeans,0.8142355008787346,100,2,18,(0.8114525307312501, 0.8170184710262192)
cancer,kharmonic_kmeans,0.8080843585237257,100,2,19,(0.8035397873032356, 0.8126289297442159)
cancer,kharmonic_kmeans,0.811775043936731,100,2,20,(0.8075239868175141, 0.8160261010559478)
cancer,kharmonic_kmeans,0.8142355008787346,100,2,50,(0.8114525307312501, 0.8170184710262192)
cancer,kharmonic_kmeans,0.8130052724077329,100,2,100,(0.8092946455444202, 0.8167158992710456)
cancer,kharmonic_kmeans,0.6281195079086117,125,2,0.1,(0.6274702834485417, 0.6287687323686817)
cancer,kharmonic_kmeans,0.7065026362038666,125,2,0.5,(0.6330584466223751, 0.779946825785358)
cancer,kharmonic_kmeans,0.7140597539543058,125,2,1,(0.6492102514217084, 0.7789092564869031)
cancer,kharmonic_kmeans,0.8057996485061512,125,2,2,(0.8038118126865194, 0.807787484325783)
cancer,kharmonic_kmeans,0.8084358523725836,125,2,3,(0.8084358523725835, 0.8084358523725838)
cancer,kharmonic_kmeans,0.8084358523725836,125,2,4,(0.8084358523725835, 0.8084358523725838)
cancer,kharmonic_kmeans,0.8084358523725836,125,2,5,(0.8084358523725835, 0.8084358523725838)
cancer,kharmonic_kmeans,0.8084358523725836,125,2,10,(0.8084358523725835, 0.8084358523725838)
cancer,kharmonic_kmeans,0.8084358523725836,125,2,11,(0.8084358523725835, 0.8084358523725838)
cancer,kharmonic_kmeans,0.8084358523725836,125,2,12,(0.8084358523725835, 0.8084358523725838)
cancer,kharmonic_kmeans,0.8084358523725836,125,2,13,(0.8084358523725835, 0.8084358523725838)
cancer,kharmonic_kmeans,0.8084358523725836,125,2,14,(0.8084358523725835, 0.8084358523725838)
cancer,kharmonic_kmeans,0.8084358523725836,125,2,15,(0.8084358523725835, 0.8084358523725838)
cancer,kharmonic_kmeans,0.8084358523725836,125,2,16,(0.8084358523725835, 0.8084358523725838)
cancer,kharmonic_kmeans,0.8084358523725836,125,2,17,(0.8084358523725835, 0.8084358523725838)
cancer,kharmonic_kmeans,0.8084358523725836,125,2,18,(0.8084358523725835, 0.8084358523725838)
cancer,kharmonic_kmeans,0.8084358523725836,125,2,19,(0.8084358523725835, 0.8084358523725838)
cancer,kharmonic_kmeans,0.8084358523725836,125,2,20,(0.8084358523725835, 0.8084358523725838)
cancer,kharmonic_kmeans,0.8084358523725836,125,2,50,(0.8084358523725835, 0.8084358523725838)
cancer,kharmonic_kmeans,0.8084358523725836,125,2,100,(0.8084358523725835, 0.8084358523725838)
