dataset,algorithm,mean_purity,num_neighbors,num_clusters,k,ci
iris,harmonic-spectral-clustering,0.722,100,3,1,(0.6878273825679144, 0.7561726174320855)
iris,harmonic-spectral-clustering,0.876,100,3,2,(0.784480693508412, 0.967519306491588)
iris,harmonic-spectral-clustering,0.8786666666666667,100,3,3,(0.7962236056245505, 0.9611097277087829)
iris,harmonic-spectral-clustering,0.9033333333333333,100,3,4,(0.8354686184511035, 0.9711980482155631)
iris,harmonic-spectral-clustering,0.906,100,3,5,(0.8441677042184129, 0.9678322957815871)
iris,harmonic-spectral-clustering,0.9333333333333333,100,3,10,(nan, nan)
iris,harmonic-spectral-clustering,0.9333333333333333,100,3,11,(nan, nan)
iris,harmonic-spectral-clustering,0.9333333333333333,100,3,12,(nan, nan)
iris,harmonic-spectral-clustering,0.9333333333333333,100,3,13,(nan, nan)
iris,harmonic-spectral-clustering,0.9333333333333333,100,3,14,(nan, nan)
iris,harmonic-spectral-clustering,0.9333333333333333,100,3,15,(nan, nan)
iris,harmonic-spectral-clustering,0.9333333333333333,100,3,16,(nan, nan)
iris,harmonic-spectral-clustering,0.9333333333333333,100,3,17,(nan, nan)
iris,harmonic-spectral-clustering,0.9333333333333333,100,3,18,(nan, nan)
iris,harmonic-spectral-clustering,0.9333333333333333,100,3,19,(nan, nan)
iris,harmonic-spectral-clustering,0.9333333333333333,100,3,20,(nan, nan)
iris,harmonic-spectral-clustering,0.9333333333333333,100,3,50,(nan, nan)
iris,harmonic-spectral-clustering,0.33333333333333337,100,3,100,(0.3333333333333333, 0.3333333333333334)
iris,harmonic-spectral-clustering,0.5306666666666666,125,3,0.1,(0.48114609446029677, 0.5801872388730365)
iris,harmonic-spectral-clustering,0.5673333333333332,125,3,0.5,(0.5207445293248414, 0.6139221373418251)
iris,harmonic-spectral-clustering,0.5613333333333334,125,3,1,(0.5198307575529342, 0.6028359091137325)
iris,harmonic-spectral-clustering,0.546,125,3,2,(0.49656881287602783, 0.5954311871239722)
iris,harmonic-spectral-clustering,0.5766666666666668,125,3,3,(0.5243156598425457, 0.6290176734907879)
iris,harmonic-spectral-clustering,0.6233333333333333,125,3,4,(0.6007117617059234, 0.6459549049607431)
iris,harmonic-spectral-clustering,0.5893333333333333,125,3,5,(0.5386027967799027, 0.6400638698867638)
iris,harmonic-spectral-clustering,0.6053333333333333,125,3,10,(0.5631063996288348, 0.6475602670378318)
iris,harmonic-spectral-clustering,0.6333333333333332,125,3,11,(0.6333333333333331, 0.6333333333333333)
iris,harmonic-spectral-clustering,0.6039999999999999,125,3,12,(0.5597051715837018, 0.6482948284162979)
iris,harmonic-spectral-clustering,0.6333333333333332,125,3,13,(0.6333333333333331, 0.6333333333333333)
iris,harmonic-spectral-clustering,0.6333333333333332,125,3,14,(0.6333333333333331, 0.6333333333333333)
iris,harmonic-spectral-clustering,0.6193333333333333,125,3,15,(0.5876631330549594, 0.6510035336117072)
iris,harmonic-spectral-clustering,0.6193333333333333,125,3,16,(0.5876631330549594, 0.6510035336117072)
iris,harmonic-spectral-clustering,0.6333333333333332,125,3,17,(0.6333333333333331, 0.6333333333333333)
iris,harmonic-spectral-clustering,0.6193333333333333,125,3,18,(0.5876631330549594, 0.6510035336117072)
iris,harmonic-spectral-clustering,0.6333333333333332,125,3,19,(0.6333333333333331, 0.6333333333333333)
iris,harmonic-spectral-clustering,0.6199999999999999,125,3,20,(0.5898379044967866, 0.6501620955032131)
iris,harmonic-spectral-clustering,0.6333333333333332,125,3,50,(0.6333333333333331, 0.6333333333333333)
iris,harmonic-spectral-clustering,0.33333333333333337,125,3,100,(0.3333333333333333, 0.3333333333333334)
